Year,Category,Type,Name,Birth_City,Birth_Country,Sex,Organization_Name,Organization_City,Organization_Country
1977,Economics,Individual,James E. Meade,Swanage,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom
1977,Literature,Individual,Vicente Aleixandre,Sevilla,Spain,Male,,,
1977,Medicine,Individual,Roger Guillemin,Dijon,France,Male,The Salk Institute,"San Diego, CA",United States of America
1977,Medicine,Individual,Andrew V. Schally,Wilno (Vilnius),Poland (Lithuania),Male,Veterans Administration Hospital,"New Orleans, LA",United States of America
1977,Medicine,Individual,Rosalyn Yalow,"New York, NY",United States of America,Female,Veterans Administration Hospital,"Bronx, NY",United States of America
1977,Peace,Organization,Amnesty International,,,,,,
1977,Physics,Individual,Philip Warren Anderson,"Indianapolis, IN",United States of America,Male,Bell Telephone Laboratories,"Murray Hill, NJ",United States of America
1977,Physics,Individual,Sir Nevill Francis Mott,Leeds,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom
1977,Physics,Individual,John Hasbrouck van Vleck,"Middletown, CT",United States of America,Male,Harvard University,"Cambridge, MA",United States of America
1978,Chemistry,Individual,Peter D. Mitchell,Mitcham,United Kingdom,Male,Glynn Research Laboratories,Bodmin,United Kingdom
1978,Economics,Individual,Herbert A. Simon,"Milwaukee, WI",United States of America,Male,Carnegie Mellon University,"Pittsburgh, PA",United States of America
1978,Literature,Individual,Isaac Bashevis Singer,Leoncin,Russian Empire (Poland),Male,,,
1978,Medicine,Individual,Werner Arber,Gränichen,Switzerland,Male,Biozentrum der Universität,Basel,Switzerland
1978,Medicine,Individual,Daniel Nathans,"Wilmington, DE",United States of America,Male,Johns Hopkins University School of Medicine,"Baltimore, MD",United States of America
1978,Medicine,Individual,Hamilton O. Smith,"New York, NY",United States of America,Male,Johns Hopkins University School of Medicine,"Baltimore, MD",United States of America
1978,Peace,Individual,Mohamed Anwar al-Sadat,Mit Abu al-Kawm,Egypt,Male,,,
1978,Peace,Individual,Menachem Begin,Brest Litovsk,Russian Empire (Belarus),Male,,,
1978,Physics,Individual,Pyotr Leonidovich Kapitsa,Kronshtadt,Russian Empire (Russia),Male,Academy of Sciences,Moscow,Union of Soviet Socialist Republics
1978,Physics,Individual,Arno Allan Penzias,Munich,Germany,Male,Bell Laboratories,"Holmdel, NJ",United States of America
1978,Physics,Individual,Robert Woodrow Wilson,"Houston, TX",United States of America,Male,Bell Laboratories,"Holmdel, NJ",United States of America
1979,Chemistry,Individual,Herbert C. Brown,London,United Kingdom,Male,Purdue University,"West Lafayette, IN",United States of America
1979,Chemistry,Individual,Georg Wittig,Berlin,Germany,Male,University of Heidelberg,Heidelberg,Federal Republic of Germany
1979,Economics,Individual,Theodore W. Schultz,"Arlington, SD",United States of America,Male,University of Chicago,"Chicago, IL",United States of America
1979,Economics,Individual,Sir Arthur Lewis,Castries,British West Indies (Saint Lucia),Male,Princeton University,"Princeton, NJ",United States of America
1979,Literature,Individual,Odysseus Elytis,Iráklion,Crete (Greece),Male,,,
1979,Medicine,Individual,Allan M. Cormack,Johannesburg,South Africa,Male,Tufts University,"Medford, MA",United States of America
1979,Medicine,Individual,Godfrey N. Hounsfield,Newark,United Kingdom,Male,"Central Research Laboratories, EMI",London,United Kingdom
1979,Peace,Organization,Mother Teresa,Uskup (Skopje),Ottoman Empire (Republic of Macedonia),Female,,,
1979,Physics,Individual,Sheldon Lee Glashow,"New York, NY",United States of America,Male,"Harvard University, Lyman Laboratory","Cambridge, MA",United States of America
1979,Physics,Individual,Abdus Salam,Jhang Maghi&#257;na,India (Pakistan),Male,International Centre for Theoretical Physics,Trieste,Italy
1979,Physics,Individual,Abdus Salam,Jhang Maghi&#257;na,India (Pakistan),Male,Imperial College,London,United Kingdom
1979,Physics,Individual,Steven Weinberg,"New York, NY",United States of America,Male,Harvard University,"Cambridge, MA",United States of America
1980,Chemistry,Individual,Frederick Sanger,Rendcombe,United Kingdom,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom
1980,Chemistry,Individual,Paul Berg,"New York, NY",United States of America,Male,Stanford University,"Stanford, CA",United States of America
1980,Chemistry,Individual,Walter Gilbert,"Boston, MA",United States of America,Male,"Harvard University, Biological Laboratories","Cambridge, MA",United States of America
1980,Economics,Individual,Lawrence R. Klein,"Omaha, NE",United States of America,Male,University of Pennsylvania,"Philadelphia, PA",United States of America
1980,Literature,Individual,Czeslaw Milosz,&#346;eteniai,Russian Empire (Lithuania),Male,,,
1980,Medicine,Individual,Baruj Benacerraf,Caracas,Venezuela,Male,Harvard Medical School,"Boston, MA",United States of America
1980,Medicine,Individual,Jean Dausset,Toulouse,France,Male,"Université de Paris, Laboratoire Immuno-Hématologie",Paris,France
1980,Medicine,Individual,George D. Snell,"Bradford, MA",United States of America,Male,Jackson Laboratory,"Bar Harbor, ME",United States of America
1980,Peace,Individual,Adolfo Pérez Esquivel,Buenos Aires,Argentina,Male,,,
1980,Physics,Individual,James Watson Cronin,"Chicago, IL",United States of America,Male,University of Chicago,"Chicago, IL",United States of America
1980,Physics,Individual,Val Logsdon Fitch,"Merriman, NE",United States of America,Male,Princeton University,"Princeton, NJ",United States of America
1981,Chemistry,Individual,Kenichi Fukui,Nara,Japan,Male,Kyoto University,Kyoto,Japan
1981,Chemistry,Individual,Roald Hoffmann,Zloczov,Poland (Ukraine),Male,Cornell University,"Ithaca, NY",United States of America
1981,Economics,Individual,James Tobin,"Champaign, IL",United States of America,Male,Yale University,"New Haven, CT",United States of America
1981,Literature,Individual,Elias Canetti,Ruse,Bulgaria,Male,,,
1981,Medicine,Individual,Roger W. Sperry,"Hartford, CT",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America
1981,Medicine,Individual,David H. Hubel,"Windsor, ON",Canada,Male,Harvard Medical School,"Boston, MA",United States of America
1981,Medicine,Individual,Torsten N. Wiesel,Uppsala,Sweden,Male,Harvard Medical School,"Boston, MA",United States of America
1981,Peace,Organization,Office of the United Nations High Commissioner for Refugees (UNHCR),,,,,,
1981,Physics,Individual,Nicolaas Bloembergen,Dordrecht,Netherlands,Male,Harvard University,"Cambridge, MA",United States of America
1981,Physics,Individual,Arthur Leonard Schawlow,"Mount Verno, NY",United States of America,Male,Stanford University,"Stanford, CA",United States of America
1981,Physics,Individual,Kai M. Siegbahn,Lund,Sweden,Male,Uppsala University,Uppsala,Sweden
1982,Chemistry,Individual,Aaron Klug,Zelvas,Lithuania,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom
1982,Economics,Individual,George J. Stigler,"Renton, WA",United States of America,Male,University of Chicago,"Chicago, IL",United States of America
1982,Literature,Individual,Gabriel García Márquez,Aracataca,Colombia,Male,,,
1982,Medicine,Individual,Sune K. Bergström,Stockholm,Sweden,Male,Karolinska Institutet,Stockholm,Sweden
1982,Medicine,Individual,Bengt I. Samuelsson,Halmstad,Sweden,Male,Karolinska Institutet,Stockholm,Sweden
1982,Medicine,Individual,John R. Vane,Tardebigg,United Kingdom,Male,The Wellcome Research Laboratories,Beckenham,United Kingdom
1982,Peace,Individual,Alva Myrdal,Uppsala,Sweden,Female,,,
1982,Peace,Individual,Alfonso García Robles,Zamora,Mexico,Male,,,
1982,Physics,Individual,Kenneth G. Wilson,"Waltham, MA",United States of America,Male,Cornell University,"Ithaca, NY",United States of America
1983,Chemistry,Individual,Henry Taube,Neudorf,Canada,Male,Stanford University,"Stanford, CA",United States of America
1983,Economics,Individual,Gerard Debreu,Calais,France,Male,University of California,"Berkeley, CA",United States of America
1983,Literature,Individual,William Golding,St. Columb Minor,United Kingdom,Male,,,
1983,Medicine,Individual,Barbara McClintock,"Hartford, CT",United States of America,Female,Cold Spring Harbor Laboratory,"Cold Spring Harbor, NY",United States of America
1983,Peace,Individual,Lech Walesa,Popowo,Poland,Male,,,
1983,Physics,Individual,Subramanyan Chandrasekhar,Lahore,India (Pakistan),Male,University of Chicago,"Chicago, IL",United States of America
1983,Physics,Individual,William Alfred Fowler,"Pittsburgh, PA",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America
1984,Chemistry,Individual,Robert Bruce Merrifield,"Fort Worth, TX",United States of America,Male,Rockefeller University,"New York, NY",United States of America
1984,Economics,Individual,Richard Stone,London,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom
1984,Literature,Individual,Jaroslav Seifert,Prague,Austria-Hungary (Czech Republic),Male,,,
1984,Medicine,Individual,Niels K. Jerne,London,United Kingdom,Male,Basel Institute for Immunology,Basel,Switzerland
1984,Medicine,Individual,Georges J.F. Köhler,Munich,Germany,Male,Basel Institute for Immunology,Basel,Switzerland
1984,Medicine,Individual,César Milstein,Bahia Blanca,Argentina,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom
1984,Peace,Individual,Desmond Mpilo Tutu,Klerksdorp,South Africa,Male,,,
1984,Physics,Individual,Carlo Rubbia,Gorizia,Italy,Male,CERN,Geneva,Switzerland
1984,Physics,Individual,Simon van der Meer,the Hague,Netherlands,Male,CERN,Geneva,Switzerland
1985,Chemistry,Individual,Herbert A. Hauptman,"New York, NY",United States of America,Male,The Medical Foundation of Buffalo,"Buffalo, NY",United States of America
1985,Chemistry,Individual,Jerome Karle,"New York, NY",United States of America,Male,US Naval Research Laboratory,"Washington, DC",United States of America
1985,Economics,Individual,Franco Modigliani,Rome,Italy,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America
1985,Literature,Individual,Claude Simon,Tananarive (Antananarivo),Madagascar,Male,,,
1985,Medicine,Individual,Michael S. Brown,"New York, NY",United States of America,Male,University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",United States of America
1985,Medicine,Individual,Joseph L. Goldstein,"Sumter, SC",United States of America,Male,University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",United States of America
1985,Peace,Organization,International Physicians for the Prevention of Nuclear War,,,,,,
1985,Physics,Individual,Klaus von Klitzing,Schroda,German-occupied Poland (Poland),Male,Max-Planck-Institut für Festkörperforschung,Stuttgart,Federal Republic of Germany
1986,Chemistry,Individual,Dudley R. Herschbach,"San José, CA",United States of America,Male,Harvard University,"Cambridge, MA",United States of America
1986,Chemistry,Individual,Yuan T. Lee,Hsinchu,Taiwan,Male,University of California,"Berkeley, CA",United States of America
1986,Chemistry,Individual,John C. Polanyi,Berlin,Germany,Male,University of Toronto,Toronto,Canada
1986,Economics,Individual,James M. Buchanan Jr.,"Murfreesboro, TN",United States of America,Male,Center for Study of Public Choice,"Fairfax, VA",United States of America
1986,Literature,Individual,Wole Soyinka,Abeokuta,Nigeria,Male,,,
1986,Medicine,Individual,Stanley Cohen,"Brooklyn, NY",United States of America,Male,Vanderbilt University School of Medicine,"Nashville, TN",United States of America
1986,Medicine,Individual,Rita Levi-Montalcini,Turin,Italy,Female,Institute of Cell Biology of the C.N.R.,Rome,Italy
1986,Peace,Individual,Elie Wiesel,Sighet,Romania,Male,,,
1986,Physics,Individual,Ernst Ruska,Heidelberg,Germany,Male,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Berlin,Federal Republic of Germany
1986,Physics,Individual,Gerd Binnig,Frankfurt-on-the-Main,West Germany (Germany),Male,IBM Zurich Research Laboratory,Rüschlikon,Switzerland
1986,Physics,Individual,Heinrich Rohrer,Buchs,Switzerland,Male,IBM Zurich Research Laboratory,Rüschlikon,Switzerland
1987,Chemistry,Individual,Donald J. Cram,"Chester, VT",United States of America,Male,University of California,"Los Angeles, CA",United States of America
1987,Chemistry,Individual,Jean-Marie Lehn,Rosheim,France,Male,Université Louis Pasteur,Strasbourg,France
1987,Chemistry,Individual,Jean-Marie Lehn,Rosheim,France,Male,Collège de France,Paris,France
1987,Chemistry,Individual,Charles J. Pedersen,Pusan,Korea (South Korea),Male,Du Pont,"Wilmington, DE",United States of America
1987,Economics,Individual,Robert M. Solow,"Brooklyn, NY",United States of America,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America
1987,Literature,Individual,Joseph Brodsky,Leningrad (Saint Petersburg),Union of Soviet Socialist Republics (Russia),Male,,,
1987,Medicine,Individual,Susumu Tonegawa,Nagoya,Japan,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America
1987,Peace,Individual,Oscar Arias Sánchez,Heredia,Costa Rica,Male,,,
1987,Physics,Individual,J. Georg Bednorz,Neuenkirchen,West Germany (Germany),Male,IBM Zurich Research Laboratory,Rüschlikon,Switzerland
1987,Physics,Individual,K. Alexander Müller,Basel,Switzerland,Male,IBM Zurich Research Laboratory,Rüschlikon,Switzerland
1988,Chemistry,Individual,Johann Deisenhofer,Zusamaltheim,Germany,Male,University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",United States of America
1988,Chemistry,Individual,Johann Deisenhofer,Zusamaltheim,Germany,Male,Howard Hughes Medical Institute,,
1988,Chemistry,Individual,Robert Huber,Munich,Germany,Male,Max-Planck-Institut für Biochemie,Martinsried,Federal Republic of Germany
1988,Chemistry,Individual,Hartmut Michel,Ludwigsburg,West Germany (Germany),Male,Max-Planck-Institut für Biophysik,Frankfurt-on-the-Main,Federal Republic of Germany
1988,Economics,Individual,Maurice Allais,Paris,France,Male,École Nationale Supérieur des Mines de Paris,Paris,France
1988,Literature,Individual,Naguib Mahfouz,Cairo,Egypt,Male,,,
1988,Medicine,Individual,Sir James W. Black,Uddingston,Scotland,Male,"London University, King's College Hospital Medical School",London,United Kingdom
1988,Medicine,Individual,Gertrude B. Elion,"New York, NY",United States of America,Female,Wellcome Research Laboratories,"Research Triangle Park, NC",United States of America
1988,Medicine,Individual,George H. Hitchings,"Hoquiam, WA",United States of America,Male,Wellcome Research Laboratories,"Research Triangle Park, NC",United States of America
1988,Peace,Organization,United Nations Peacekeeping Forces,,,,,,
1988,Physics,Individual,Leon M. Lederman,"New York, NY",United States of America,Male,Fermi National Accelerator Laboratory,"Batavia, IL",United States of America
1988,Physics,Individual,Melvin Schwartz,"New York, NY",United States of America,Male,"Digital Pathways, Inc.","Mountain View, CA",United States of America
1988,Physics,Individual,Jack Steinberger,Bad Kissingen,Germany,Male,CERN,Geneva,Switzerland
1989,Chemistry,Individual,Sidney Altman,Montreal,Canada,Male,Yale University,"New Haven, CT",United States of America
1989,Chemistry,Individual,Thomas R. Cech,"Chicago, IL",United States of America,Male,University of Colorado,"Boulder, CO",United States of America
1989,Economics,Individual,Trygve Haavelmo,Skedsmo,Norway,Male,University of Oslo,Oslo,Norway
1989,Literature,Individual,Camilo José Cela,Iria Flavia,Spain,Male,,,
1989,Medicine,Individual,J. Michael Bishop,"York, PA",United States of America,Male,University of California School of Medicine,"San Francisco, CA",United States of America
1989,Medicine,Individual,Harold E. Varmus,"Oceanside, NY",United States of America,Male,University of California School of Medicine,"San Francisco, CA",United States of America
1989,Peace,Organization,The 14th Dalai Lama (Tenzin Gyatso),Taktser,Tibet (People's Republic of China),Male,,,
1989,Physics,Individual,Norman F. Ramsey,"Washington, DC",United States of America,Male,Harvard University,"Cambridge, MA",United States of America
1989,Physics,Individual,Hans G. Dehmelt,Görlitz,Prussia (Germany),Male,University of Washington,"Seattle, WA",United States of America
1989,Physics,Individual,Wolfgang Paul,Lorenzkirch,Germany,Male,University of Bonn,Bonn,Federal Republic of Germany
1990,Chemistry,Individual,Elias James Corey,"Methuen, MA",United States of America,Male,Harvard University,"Cambridge, MA",United States of America
1990,Economics,Individual,Harry M. Markowitz,"Chicago, IL",United States of America,Male,City University of New York,"New York, NY",United States of America
1990,Economics,Individual,Merton H. Miller,"Boston, MA",United States of America,Male,University of Chicago,"Chicago, IL",United States of America
1990,Economics,Individual,William F. Sharpe,"Boston, MA",United States of America,Male,Stanford University,"Stanford, CA",United States of America
1990,Literature,Individual,Octavio Paz,Mexico City,Mexico,Male,,,
1990,Medicine,Individual,Joseph E. Murray,"Milford, MA",United States of America,Male,Brigham and Women's Hospital,"Boston, MA",United States of America
1990,Medicine,Individual,E. Donnall Thomas,"Mart, TX",United States of America,Male,Fred Hutchinson Cancer Research Center,"Seattle, WA",United States of America
1990,Peace,Individual,Mikhail Sergeyevich Gorbachev,Privolnoye,Union of Soviet Socialist Republics (Russia),Male,,,
1990,Physics,Individual,Jerome I. Friedman,"Chicago, IL",United States of America,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America
1990,Physics,Individual,Henry W. Kendall,"Boston, MA",United States of America,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America
1990,Physics,Individual,Richard E. Taylor,"Medicine Hat, Alberta",Canada,Male,Stanford University,"Stanford, CA",United States of America
1991,Chemistry,Individual,Richard R. Ernst,Winterthur,Switzerland,Male,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland
1991,Economics,Individual,Ronald H. Coase,Willesden,United Kingdom,Male,University of Chicago,"Chicago, IL",United States of America
1991,Literature,Individual,Nadine Gordimer,Springs,South Africa,Female,,,
1991,Medicine,Individual,Erwin Neher,Landsberg,Germany,Male,Max-Planck-Institut für Biophysikalische Chemie,Göttingen,Federal Republic of Germany
1991,Medicine,Individual,Bert Sakmann,Stuttgart,Germany,Male,Max-Planck-Institut für medizinische Forschung,Heidelberg,Federal Republic of Germany
1991,Peace,Organization,Aung San Suu Kyi,Rangoon (Yangon),Burma (Myanmar),Female,,,
1991,Physics,Individual,Pierre-Gilles de Gennes,Paris,France,Male,Collège de France,Paris,France
1992,Chemistry,Individual,Rudolph A. Marcus,Montreal,Canada,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America
1992,Economics,Individual,Gary S. Becker,"Pottsville, PA",United States of America,Male,University of Chicago,"Chicago, IL",United States of America
1992,Literature,Individual,Derek Walcott,Castries,Saint Lucia,Male,,,
1992,Medicine,Individual,Edmond H. Fischer,Shanghai,China,Male,University of Washington,"Seattle, WA",United States of America
1992,Medicine,Individual,Edwin G. Krebs,"Lansing, IA",United States of America,Male,University of Washington,"Seattle, WA",United States of America
1992,Peace,Individual,Rigoberta Menchú Tum,Aldea Chimel,Guatemala,Female,,,
1992,Physics,Individual,Georges Charpak,Dabrovica,Poland,Male,École Supérieure de Physique et Chimie,Paris,France
1992,Physics,Individual,Georges Charpak,Dabrovica,Poland,Male,CERN,Geneva,Switzerland
1993,Chemistry,Individual,Kary B. Mullis,"Lenoir, NC",United States of America,Male,,"La Jolla, CA",United States of America
1993,Chemistry,Individual,Michael Smith,Blackpool,United Kingdom,Male,University of British Columbia,Vancouver,Canada
1993,Economics,Individual,Robert W. Fogel,"New York, NY",United States of America,Male,University of Chicago,"Chicago, IL",United States of America
1993,Economics,Individual,Douglass C. North,"Cambridge, MA",United States of America,Male,Washington University,"St. Louis, MO",United States of America
1993,Literature,Individual,Toni Morrison,"Lorain, OH",United States of America,Female,,,
1993,Medicine,Individual,Richard J. Roberts,Derby,United Kingdom,Male,New England Biolabs,"Beverly, MA",United States of America
1993,Medicine,Individual,Phillip A. Sharp,"Falmouth, KY",United States of America,Male,"Massachusetts Institute of Technology (MIT), Center for Cancer Research","Cambridge, MA",United States of America
1993,Peace,Individual,Nelson Mandela,Qunu,South Africa,Male,,,
1993,Peace,Individual,Frederik Willem de Klerk,Johannesburg,South Africa,Male,,,
1993,Physics,Individual,Russell A. Hulse,"New York, NY",United States of America,Male,Princeton University,"Princeton, NJ",United States of America
1993,Physics,Individual,Joseph H. Taylor Jr.,"Philadelphia, PA",United States of America,Male,Princeton University,"Princeton, NJ",United States of America
1994,Chemistry,Individual,George A. Olah,Budapest,Hungary,Male,University of Southern California,"Los Angeles, CA",United States of America
1994,Economics,Individual,John C. Harsanyi,Budapest,Hungary,Male,University of California,"Berkeley, CA",United States of America
1994,Economics,Individual,John F. Nash Jr.,"Bluefield, WV",United States of America,Male,Princeton University,"Princeton, NJ",United States of America
1994,Economics,Individual,Reinhard Selten,Breslau (Wroclaw),Germany (Poland),Male,Rheinische Friedrich-Wilhelms-Universität,Bonn,Federal Republic of Germany
1994,Literature,Individual,Kenzaburo Oe,Uchiko,Japan,Male,,,
1994,Medicine,Individual,Alfred G. Gilman,"New Haven, CT",United States of America,Male,University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",United States of America
1994,Medicine,Individual,Martin Rodbell,"Baltimore, MD",United States of America,Male,National Institute of Environmental Health Sciences,"Research Triangle Park, NC",United States of America
1994,Peace,Individual,Yasser Arafat,Cairo,Egypt,Male,,,
1994,Peace,Individual,Shimon Peres,Vishneva,Poland (Belarus),Male,,,
1994,Peace,Individual,Yitzhak Rabin,Jerusalem,British Mandate of Palestine (Israel),Male,,,
1994,Physics,Individual,Bertram N. Brockhouse,"Lethbridge, Alberta",Canada,Male,McMaster University,"Hamilton, Ontario",Canada
1994,Physics,Individual,Clifford G. Shull,"Pittsburgh, PA",United States of America,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America
1995,Chemistry,Individual,Paul J. Crutzen,Amsterdam,Netherlands,Male,Max-Planck-Institut für Chemie,Mainz,Federal Republic of Germany
1995,Chemistry,Individual,Mario J. Molina,Mexico City,Mexico,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America
1995,Chemistry,Individual,F. Sherwood Rowland,"Delaware, OH",United States of America,Male,University of California,"Irvine, CA",United States of America
1995,Economics,Individual,Robert E. Lucas Jr.,"Yakima, WA",United States of America,Male,University of Chicago,"Chicago, IL",United States of America
1995,Literature,Individual,Seamus Heaney,Casteldàwson,Northern Ireland,Male,,,
1995,Medicine,Individual,Edward B. Lewis,"Wilkes-Barre, PA",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America
1995,Medicine,Individual,Christiane Nüsslein-Volhard,Magdeburg,Germany,Female,Max-Planck-Institut für Entwicklungsbiologie,Tübingen,Federal Republic of Germany
1995,Medicine,Individual,Eric F. Wieschaus,"South Bend, IN",United States of America,Male,Princeton University,"Princeton, NJ",United States of America
1995,Peace,Individual,Joseph Rotblat,Warsaw,Russian Empire (Poland),Male,,,
1995,Peace,Organization,Pugwash Conferences on Science and World Affairs,,,,,,
1995,Physics,Individual,Martin L. Perl,"New York, NY",United States of America,Male,Stanford University,"Stanford, CA",United States of America
1995,Physics,Individual,Frederick Reines,"Paterson, NJ",United States of America,Male,University of California,"Irvine, CA",United States of America
1996,Chemistry,Individual,Robert F. Curl Jr.,"Alice, TX",United States of America,Male,Rice University,"Houston, TX",United States of America
1996,Chemistry,Individual,Sir Harold W. Kroto,Wisbech,United Kingdom,Male,University of Sussex,Brighton,United Kingdom
1996,Chemistry,Individual,Richard E. Smalley,"Akron, OH",United States of America,Male,Rice University,"Houston, TX",United States of America
1996,Economics,Individual,James A. Mirrlees,Minnigaff,Scotland,Male,University of Cambridge,Cambridge,United Kingdom
1996,Economics,Individual,William Vickrey,"Victoria, BC",Canada,Male,Columbia University,"New York, NY",United States of America
1996,Literature,Individual,Wislawa Szymborska,Bnin (Kórnik),Poland,Female,,,
1996,Medicine,Individual,Peter C. Doherty,Brisbane,Australia,Male,St. Jude Children's Research Hospital,"Memphis, TN",United States of America
1996,Medicine,Individual,Rolf M. Zinkernagel,Basel,Switzerland,Male,"University of Zurich, Institute of Experimental Immunology",Zurich,Switzerland
1996,Peace,Individual,Carlos Filipe Ximenes Belo,Wailacama,East Timor,Male,,,
1996,Peace,Individual,José Ramos-Horta,Dili,East Timor,Male,,,
1996,Physics,Individual,David M. Lee,"Rye, NY",United States of America,Male,Cornell University,"Ithaca, NY",United States of America
1996,Physics,Individual,Douglas D. Osheroff,"Aberdeen, WA",United States of America,Male,Stanford University,"Stanford, CA",United States of America
1996,Physics,Individual,Robert C. Richardson,"Washington, DC",United States of America,Male,Cornell University,"Ithaca, NY",United States of America
1997,Chemistry,Individual,Paul D. Boyer,"Provo, UT",United States of America,Male,University of California,"Los Angeles, CA",United States of America
1997,Chemistry,Individual,John E. Walker,Halifax,United Kingdom,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom
1997,Chemistry,Individual,Jens C. Skou,Lemvig,Denmark,Male,Aarhus University,Aarhus,Denmark
1997,Economics,Individual,Robert C. Merton,"New York, NY",United States of America,Male,Harvard University,"Cambridge, MA",United States of America
1997,Economics,Individual,Myron S. Scholes,"Timmins, ON",Canada,Male,Long Term Capital Management,"Greenwich, CT",United States of America
1997,Literature,Individual,Dario Fo,Leggiuno-Sangiano,Italy,Male,,,
1997,Medicine,Individual,Stanley B. Prusiner,"Des Moines, IA",United States of America,Male,University of California School of Medicine,"San Francisco, CA",United States of America
1997,Peace,Organization,International Campaign to Ban Landmines (ICBL),,,,,,
1997,Peace,Individual,Jody Williams,"Putney, VT",United States of America,Female,,,
1997,Physics,Individual,Steven Chu,"St. Louis, MO",United States of America,Male,Stanford University,"Stanford, CA",United States of America
1997,Physics,Individual,Claude Cohen-Tannoudji,Constantine,French Algeria (Algeria),Male,Collège de France,Paris,France
1997,Physics,Individual,Claude Cohen-Tannoudji,Constantine,French Algeria (Algeria),Male,École Normale Supérieure,Paris,France
1997,Physics,Individual,William D. Phillips,"Wilkes-Barre, PA",United States of America,Male,National Institute of Standards and Technology,"Gaithersburg, MD",United States of America
1998,Chemistry,Individual,Walter Kohn,Vienna,Austria,Male,University of California,"Santa Barbara, CA",United States of America
1998,Chemistry,Individual,John A. Pople,Burnham-on-Sea,United Kingdom,Male,Northwestern University,"Evanston, IL",United States of America
1998,Economics,Individual,Amartya Sen,Santiniketan,India,Male,Trinity College,Cambridge,United Kingdom
1998,Literature,Individual,José Saramago,Azinhaga,Portugal,Male,,,
1998,Medicine,Individual,Robert F. Furchgott,"Charleston, SC",United States of America,Male,SUNY Health Science Center,"Brooklyn, NY",United States of America
1998,Medicine,Individual,Louis J. Ignarro,"Brooklyn, NY",United States of America,Male,University of California School of Medicine,"Los Angeles, CA",United States of America
1998,Medicine,Individual,Ferid Murad,"Whiting, IN",United States of America,Male,University of Texas Medical School at Houston,"Houston, TX",United States of America
1998,Peace,Individual,John Hume,Londonderry,Northern Ireland,Male,,,
1998,Peace,Individual,David Trimble,Belfast,Northern Ireland,Male,,,
1998,Physics,Individual,Robert B. Laughlin,"Visalia, CA",United States of America,Male,Stanford University,"Stanford, CA",United States of America
1998,Physics,Individual,Horst L. Störmer,Frankfurt-on-the-Main,West Germany (Germany),Male,Columbia University,"New York, NY",United States of America
1998,Physics,Individual,Daniel C. Tsui,Henan,China,Male,Princeton University,"Princeton, NJ",United States of America
1999,Chemistry,Individual,Ahmed H. Zewail,Damanhur,Egypt,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America
1999,Economics,Individual,Robert A. Mundell,"Kingston, ON",Canada,Male,Columbia University,"New York, NY",United States of America
1999,Literature,Individual,Günter Grass,Danzig (Gdansk),Free City of Danzig (Poland),Male,,,
1999,Medicine,Individual,Günter Blobel,Waltersdorf (Niegoslawice),Germany (Poland),Male,Rockefeller University,"New York, NY",United States of America
1999,Medicine,Individual,Günter Blobel,Waltersdorf (Niegoslawice),Germany (Poland),Male,Howard Hughes Medical Institute,,
1999,Peace,Organization,Médecins Sans Frontières,,,,,,
1999,Physics,Individual,Gerardus 't Hooft,Den Helder,Netherlands,Male,Utrecht University,Utrecht,Netherlands
1999,Physics,Individual,Martinus J.G. Veltman,Waalwijk,Netherlands,Male,,Bilthoven,Netherlands
2000,Chemistry,Individual,Alan J. Heeger,"Sioux City, IA",United States of America,Male,University of California,"Santa Barbara, CA",United States of America
2000,Chemistry,Individual,Alan G. MacDiarmid,Masterton,New Zealand,Male,University of Pennsylvania,"Philadelphia, PA",United States of America
2000,Chemistry,Individual,Hideki Shirakawa,Tokyo,Japan,Male,University of Tsukuba,Tokyo,Japan
2000,Economics,Individual,James J. Heckman,"Chicago, IL",United States of America,Male,University of Chicago,"Chicago, IL",United States of America
