Rank,Year,Month,Day,Year_to_Date_Rank,Last_Week_Rank,Title,Type,Exclusive,Release_Date,Days_in_Top_10,Viewership_Score
8,2021,4,9,6,-,Saving Private Ryan,Movie,No,"Apr 1, 2021",4,13
9,2021,4,9,9,-,Legally Blonde,Movie,Yes,"Apr 1, 2021",3,6
10,2021,4,9,8,-,Sniper: Ghost Shooter,Movie,No,"Apr 1, 2021",5,13
1,2021,4,10,-,-,Thunder Force,Movie,Yes,"Apr 9, 2021",1,10
2,2021,4,10,1,1,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",15,142
3,2021,4,10,3,-,This is a Robbery: The Worl…,TV Show,Yes,"Apr 7, 2021",2,16
4,2021,4,10,2,-,What Lies Below,Movie,No,"Apr 4, 2021",6,54
5,2021,4,10,4,-,The Serpent,TV Show,Yes,"Apr 2, 2021",7,44
6,2021,4,10,5,9,Cocomelon,TV Show,No,"Jun 1, 2020",169,529
7,2021,4,10,-,-,The Little Rascals,Movie,No,"Apr 2, 2021",1,4
8,2021,4,10,6,3,Concrete Cowboy,Movie,Yes,"Apr 2, 2021",8,56
9,2021,4,10,9,-,Legally Blonde,Movie,Yes,"Apr 1, 2021",4,8
10,2021,4,10,7,-,Family Reunion,TV Show,Yes,"Jul 10, 2019",5,22
1,2021,4,11,1,-,Thunder Force,Movie,Yes,"Apr 9, 2021",2,20
2,2021,4,11,3,-,This is a Robbery: The Worl…,TV Show,Yes,"Apr 7, 2021",3,25
3,2021,4,11,2,1,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",16,150
4,2021,4,11,7,-,The Little Rascals,Movie,No,"Apr 2, 2021",2,11
5,2021,4,11,5,7,The Serpent,TV Show,Yes,"Apr 2, 2021",8,50
6,2021,4,11,4,-,What Lies Below,Movie,No,"Apr 4, 2021",7,59
7,2021,4,11,6,9,Cocomelon,TV Show,No,"Jun 1, 2020",170,533
8,2021,4,11,8,2,Concrete Cowboy,Movie,Yes,"Apr 2, 2021",9,59
9,2021,4,11,9,-,Legally Blonde,Movie,Yes,"Apr 1, 2021",5,10
10,2021,4,11,-,-,Sniper: Ghost Shooter,Movie,No,"Apr 1, 2021",6,14
1,2021,4,12,1,-,Thunder Force,Movie,Yes,"Apr 9, 2021",3,30
2,2021,4,12,2,-,This is a Robbery: The Worl…,TV Show,Yes,"Apr 7, 2021",4,34
3,2021,4,12,3,1,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",17,158
4,2021,4,12,4,-,The Little Rascals,Movie,No,"Apr 2, 2021",3,18
5,2021,4,12,5,6,The Serpent,TV Show,Yes,"Apr 2, 2021",9,56
6,2021,4,12,10,10,Sniper: Ghost Shooter,Movie,No,"Apr 1, 2021",7,19
7,2021,4,12,7,-,Cocomelon,TV Show,No,"Jun 1, 2020",171,537
8,2021,4,12,9,-,Legally Blonde,Movie,Yes,"Apr 1, 2021",6,13
9,2021,4,12,6,3,What Lies Below,Movie,No,"Apr 4, 2021",8,61
10,2021,4,12,8,2,Concrete Cowboy,Movie,Yes,"Apr 2, 2021",10,60
1,2021,4,13,1,-,Thunder Force,Movie,Yes,"Apr 9, 2021",4,40
2,2021,4,13,2,-,This is a Robbery: The Worl…,TV Show,Yes,"Apr 7, 2021",5,43
3,2021,4,13,3,2,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",18,166
4,2021,4,13,5,5,The Serpent,TV Show,Yes,"Apr 2, 2021",10,63
5,2021,4,13,4,-,The Little Rascals,Movie,No,"Apr 2, 2021",4,24
6,2021,4,13,-,-,The Stand-In,Movie,No,"Apr 10, 2021",1,5
7,2021,4,13,7,8,Cocomelon,TV Show,No,"Jun 1, 2020",172,541
8,2021,4,13,-,-,"Nicky, Ricky, Dicky & Dawn",TV Show,No,"Apr 12, 2021",1,3
9,2021,4,13,-,10,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",39,328
10,2021,4,13,6,7,Sniper: Ghost Shooter,Movie,No,"Apr 1, 2021",8,20
1,2021,4,14,1,-,Thunder Force,Movie,Yes,"Apr 9, 2021",5,50
2,2021,4,14,2,-,This is a Robbery: The Worl…,TV Show,Yes,"Apr 7, 2021",6,52
3,2021,4,14,3,2,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",19,174
4,2021,4,14,4,3,The Serpent,TV Show,Yes,"Apr 2, 2021",11,70
5,2021,4,14,8,-,"Nicky, Ricky, Dicky & Dawn",TV Show,No,"Apr 12, 2021",2,9
6,2021,4,14,7,10,Cocomelon,TV Show,No,"Jun 1, 2020",173,546
7,2021,4,14,6,-,The Stand-In,Movie,No,"Apr 10, 2021",2,9
8,2021,4,14,5,-,The Little Rascals,Movie,No,"Apr 2, 2021",5,27
9,2021,4,14,9,-,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",40,330
10,2021,4,14,10,7,Sniper: Ghost Shooter,Movie,No,"Apr 1, 2021",9,21
1,2021,4,15,1,-,Thunder Force,Movie,Yes,"Apr 9, 2021",6,60
2,2021,4,15,-,-,Dad Stop Embarrassing Me!,TV Show,Yes,"Apr 14, 2021",1,9
3,2021,4,15,-,-,Why Did You Kill Me?,Movie,Yes,"Apr 14, 2021",1,8
4,2021,4,15,-,-,The Circle US,TV Show,Yes,"Jan 1, 2020",1,7
5,2021,4,15,3,2,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",20,180
6,2021,4,15,2,-,This is a Robbery: The Worl…,TV Show,Yes,"Apr 7, 2021",7,57
7,2021,4,15,6,7,Cocomelon,TV Show,No,"Jun 1, 2020",174,550
8,2021,4,15,4,3,The Serpent,TV Show,Yes,"Apr 2, 2021",12,73
9,2021,4,15,5,-,"Nicky, Ricky, Dicky & Dawn",TV Show,No,"Apr 12, 2021",3,11
10,2021,4,15,8,-,The Little Rascals,Movie,No,"Apr 2, 2021",6,28
1,2021,4,16,2,-,Dad Stop Embarrassing Me!,TV Show,Yes,"Apr 14, 2021",2,19
2,2021,4,16,3,-,Why Did You Kill Me?,Movie,Yes,"Apr 14, 2021",2,17
3,2021,4,16,1,-,Thunder Force,Movie,Yes,"Apr 9, 2021",7,68
4,2021,4,16,4,-,The Circle US,TV Show,Yes,"Jan 1, 2020",2,14
5,2021,4,16,-,-,The Baker and the Beauty,TV Show,No,"Apr 13, 2021",1,6
6,2021,4,16,7,5,Cocomelon,TV Show,No,"Jun 1, 2020",175,555
7,2021,4,16,5,1,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",21,184
8,2021,4,16,9,-,"Nicky, Ricky, Dicky & Dawn",TV Show,No,"Apr 12, 2021",4,14
9,2021,4,16,8,4,The Serpent,TV Show,Yes,"Apr 2, 2021",13,75
10,2021,4,16,6,3,This is a Robbery: The Worl…,TV Show,Yes,"Apr 7, 2021",8,58
1,2021,4,17,1,-,Dad Stop Embarrassing Me!,TV Show,Yes,"Apr 14, 2021",3,29
2,2021,4,17,2,-,Why Did You Kill Me?,Movie,Yes,"Apr 14, 2021",3,26
3,2021,4,17,3,1,Thunder Force,Movie,Yes,"Apr 9, 2021",8,76
4,2021,4,17,4,-,The Circle US,TV Show,Yes,"Jan 1, 2020",3,21
5,2021,4,17,5,-,The Baker and the Beauty,TV Show,No,"Apr 13, 2021",2,12
6,2021,4,17,6,6,Cocomelon,TV Show,No,"Jun 1, 2020",176,560
7,2021,4,17,7,2,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",22,188
8,2021,4,17,8,-,"Nicky, Ricky, Dicky & Dawn",TV Show,No,"Apr 12, 2021",5,17
9,2021,4,17,9,5,The Serpent,TV Show,Yes,"Apr 2, 2021",14,77
10,2021,4,17,10,3,This is a Robbery: The Worl…,TV Show,Yes,"Apr 7, 2021",9,59
1,2021,4,18,-,-,Synchronic,Movie,No,"Apr 16, 2021",1,10
2,2021,4,18,1,-,Dad Stop Embarrassing Me!,TV Show,Yes,"Apr 14, 2021",4,38
3,2021,4,18,3,1,Thunder Force,Movie,Yes,"Apr 9, 2021",9,84
4,2021,4,18,2,-,Why Did You Kill Me?,Movie,Yes,"Apr 14, 2021",4,33
5,2021,4,18,5,-,The Baker and the Beauty,TV Show,No,"Apr 13, 2021",3,18
6,2021,4,18,4,-,The Circle US,TV Show,Yes,"Jan 1, 2020",4,26
7,2021,4,18,6,7,Cocomelon,TV Show,No,"Jun 1, 2020",177,564
8,2021,4,18,-,4,The Little Rascals,Movie,No,"Apr 2, 2021",7,31
9,2021,4,18,7,3,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",23,190
10,2021,4,18,8,-,"Nicky, Ricky, Dicky & Dawn",TV Show,No,"Apr 12, 2021",6,18
1,2021,4,19,1,-,Synchronic,Movie,No,"Apr 16, 2021",2,20
2,2021,4,19,5,-,The Baker and the Beauty,TV Show,No,"Apr 13, 2021",4,27
3,2021,4,19,2,-,Dad Stop Embarrassing Me!,TV Show,Yes,"Apr 14, 2021",5,46
4,2021,4,19,3,1,Thunder Force,Movie,Yes,"Apr 9, 2021",10,91
5,2021,4,19,4,-,Why Did You Kill Me?,Movie,Yes,"Apr 14, 2021",5,39
6,2021,4,19,6,-,The Circle US,TV Show,Yes,"Jan 1, 2020",5,31
7,2021,4,19,7,7,Cocomelon,TV Show,No,"Jun 1, 2020",178,568
8,2021,4,19,9,3,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",24,193
9,2021,4,19,10,-,"Nicky, Ricky, Dicky & Dawn",TV Show,No,"Apr 12, 2021",7,20
10,2021,4,19,-,5,The Serpent,TV Show,Yes,"Apr 2, 2021",15,78
1,2021,4,20,1,-,Synchronic,Movie,No,"Apr 16, 2021",3,30
2,2021,4,20,2,-,The Baker and the Beauty,TV Show,No,"Apr 13, 2021",5,36
3,2021,4,20,3,-,Dad Stop Embarrassing Me!,TV Show,Yes,"Apr 14, 2021",6,54
4,2021,4,20,6,-,The Circle US,TV Show,Yes,"Jan 1, 2020",6,38
5,2021,4,20,5,-,Why Did You Kill Me?,Movie,Yes,"Apr 14, 2021",6,45
6,2021,4,20,7,7,Cocomelon,TV Show,No,"Jun 1, 2020",179,573
7,2021,4,20,4,1,Thunder Force,Movie,Yes,"Apr 9, 2021",11,95
8,2021,4,20,8,3,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",25,196
9,2021,4,20,9,8,"Nicky, Ricky, Dicky & Dawn",TV Show,No,"Apr 12, 2021",8,22
10,2021,4,20,10,4,The Serpent,TV Show,Yes,"Apr 2, 2021",16,79
1,2021,4,21,2,-,The Baker and the Beauty,TV Show,No,"Apr 13, 2021",6,46
2,2021,4,21,1,-,Synchronic,Movie,No,"Apr 16, 2021",4,39
3,2021,4,21,6,6,Cocomelon,TV Show,No,"Jun 1, 2020",180,581
4,2021,4,21,3,-,Dad Stop Embarrassing Me!,TV Show,Yes,"Apr 14, 2021",7,61
5,2021,4,21,4,-,The Circle US,TV Show,Yes,"Jan 1, 2020",7,44
6,2021,4,21,7,1,Thunder Force,Movie,Yes,"Apr 9, 2021",12,100
7,2021,4,21,5,-,Why Did You Kill Me?,Movie,Yes,"Apr 14, 2021",7,49
8,2021,4,21,9,5,"Nicky, Ricky, Dicky & Dawn",TV Show,No,"Apr 12, 2021",9,25
9,2021,4,21,8,3,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",26,198
10,2021,4,21,10,4,The Serpent,TV Show,Yes,"Apr 2, 2021",17,80
1,2021,4,22,5,4,The Circle US,TV Show,Yes,"Jan 1, 2020",8,54
2,2021,4,22,1,-,The Baker and the Beauty,TV Show,No,"Apr 13, 2021",7,55
3,2021,4,22,2,-,Synchronic,Movie,No,"Apr 16, 2021",5,47
4,2021,4,22,3,7,Cocomelon,TV Show,No,"Jun 1, 2020",181,588
5,2021,4,22,4,2,Dad Stop Embarrassing Me!,TV Show,Yes,"Apr 14, 2021",8,67
6,2021,4,22,6,1,Thunder Force,Movie,Yes,"Apr 9, 2021",13,105
7,2021,4,22,8,9,"Nicky, Ricky, Dicky & Dawn",TV Show,No,"Apr 12, 2021",10,29
8,2021,4,22,10,8,The Serpent,TV Show,Yes,"Apr 2, 2021",18,83
9,2021,4,22,9,5,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",27,200
10,2021,4,22,7,3,Why Did You Kill Me?,Movie,Yes,"Apr 14, 2021",8,50
1,2021,4,23,1,4,The Circle US,TV Show,Yes,"Jan 1, 2020",9,64
2,2021,4,23,2,5,The Baker and the Beauty,TV Show,No,"Apr 13, 2021",8,64
3,2021,4,23,-,-,Stowaway,Movie,Yes,"Apr 22, 2021",1,8
4,2021,4,23,4,6,Cocomelon,TV Show,No,"Jun 1, 2020",182,595
5,2021,4,23,-,-,Life in Color with David At…,TV Show,Yes,"Apr 22, 2021",1,6
6,2021,4,23,3,-,Synchronic,Movie,No,"Apr 16, 2021",6,52
7,2021,4,23,7,8,"Nicky, Ricky, Dicky & Dawn",TV Show,No,"Apr 12, 2021",11,33
8,2021,4,23,5,1,Dad Stop Embarrassing Me!,TV Show,Yes,"Apr 14, 2021",9,70
9,2021,4,23,8,9,The Serpent,TV Show,Yes,"Apr 2, 2021",19,85
10,2021,4,23,9,7,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",28,201
1,2021,4,24,-,-,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",1,10
2,2021,4,24,3,-,Stowaway,Movie,Yes,"Apr 22, 2021",2,17
3,2021,4,24,1,4,The Circle US,TV Show,Yes,"Jan 1, 2020",10,72
4,2021,4,24,2,5,The Baker and the Beauty,TV Show,No,"Apr 13, 2021",9,71
5,2021,4,24,4,6,Cocomelon,TV Show,No,"Jun 1, 2020",183,601
6,2021,4,24,5,-,Life in Color with David At…,TV Show,Yes,"Apr 22, 2021",2,11
7,2021,4,24,6,-,Synchronic,Movie,No,"Apr 16, 2021",7,56
8,2021,4,24,7,8,"Nicky, Ricky, Dicky & Dawn",TV Show,No,"Apr 12, 2021",12,36
9,2021,4,24,9,9,The Serpent,TV Show,Yes,"Apr 2, 2021",20,87
10,2021,4,24,-,3,Thunder Force,Movie,Yes,"Apr 9, 2021",14,106
1,2021,4,25,1,-,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",2,20
2,2021,4,25,2,-,Stowaway,Movie,Yes,"Apr 22, 2021",3,26
3,2021,4,25,6,-,Life in Color with David At…,TV Show,Yes,"Apr 22, 2021",3,19
4,2021,4,25,4,5,The Baker and the Beauty,TV Show,No,"Apr 13, 2021",10,78
5,2021,4,25,3,6,The Circle US,TV Show,Yes,"Jan 1, 2020",11,78
6,2021,4,25,5,7,Cocomelon,TV Show,No,"Jun 1, 2020",184,606
7,2021,4,25,7,1,Synchronic,Movie,No,"Apr 16, 2021",8,60
8,2021,4,25,10,3,Thunder Force,Movie,Yes,"Apr 9, 2021",15,109
9,2021,4,25,8,10,"Nicky, Ricky, Dicky & Dawn",TV Show,No,"Apr 12, 2021",13,38
10,2021,4,25,9,-,The Serpent,TV Show,Yes,"Apr 2, 2021",21,88
1,2021,4,26,1,-,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",3,30
2,2021,4,26,2,-,Stowaway,Movie,Yes,"Apr 22, 2021",4,35
3,2021,4,26,3,-,Life in Color with David At…,TV Show,Yes,"Apr 22, 2021",4,27
4,2021,4,26,4,2,The Baker and the Beauty,TV Show,No,"Apr 13, 2021",11,85
5,2021,4,26,5,6,The Circle US,TV Show,Yes,"Jan 1, 2020",12,84
6,2021,4,26,6,7,Cocomelon,TV Show,No,"Jun 1, 2020",185,611
7,2021,4,26,7,1,Synchronic,Movie,No,"Apr 16, 2021",9,64
8,2021,4,26,8,4,Thunder Force,Movie,Yes,"Apr 9, 2021",16,112
9,2021,4,26,10,10,The Serpent,TV Show,Yes,"Apr 2, 2021",22,90
10,2021,4,26,9,9,"Nicky, Ricky, Dicky & Dawn",TV Show,No,"Apr 12, 2021",14,39
1,2021,4,27,1,-,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",4,40
2,2021,4,27,2,-,Stowaway,Movie,Yes,"Apr 22, 2021",5,44
3,2021,4,27,3,-,Life in Color with David At…,TV Show,Yes,"Apr 22, 2021",5,35
4,2021,4,27,4,2,The Baker and the Beauty,TV Show,No,"Apr 13, 2021",12,92
5,2021,4,27,5,4,The Circle US,TV Show,Yes,"Jan 1, 2020",13,90
6,2021,4,27,6,6,Cocomelon,TV Show,No,"Jun 1, 2020",186,616
7,2021,4,27,9,10,The Serpent,TV Show,Yes,"Apr 2, 2021",23,94
8,2021,4,27,10,9,"Nicky, Ricky, Dicky & Dawn",TV Show,No,"Apr 12, 2021",15,42
9,2021,4,27,-,-,American Me,Movie,No,"Apr 17, 2021",1,2
10,2021,4,27,-,-,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",41,331
1,2021,4,28,1,-,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",5,50
2,2021,4,28,2,-,Stowaway,Movie,Yes,"Apr 22, 2021",6,53
3,2021,4,28,3,-,Life in Color with David At…,TV Show,Yes,"Apr 22, 2021",6,43
4,2021,4,28,4,1,The Baker and the Beauty,TV Show,No,"Apr 13, 2021",13,99
5,2021,4,28,5,5,The Circle US,TV Show,Yes,"Jan 1, 2020",14,96
6,2021,4,28,6,3,Cocomelon,TV Show,No,"Jun 1, 2020",187,621
7,2021,4,28,7,10,The Serpent,TV Show,Yes,"Apr 2, 2021",24,98
8,2021,4,28,8,8,"Nicky, Ricky, Dicky & Dawn",TV Show,No,"Apr 12, 2021",16,45
9,2021,4,28,9,-,American Me,Movie,No,"Apr 17, 2021",2,4
10,2021,4,28,10,-,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",42,332
1,2021,4,29,1,-,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",6,60
2,2021,4,29,5,1,The Circle US,TV Show,Yes,"Jan 1, 2020",15,105
3,2021,4,29,2,-,Stowaway,Movie,Yes,"Apr 22, 2021",7,61
4,2021,4,29,4,2,The Baker and the Beauty,TV Show,No,"Apr 13, 2021",14,106
5,2021,4,29,3,-,Life in Color with David At…,TV Show,Yes,"Apr 22, 2021",7,49
6,2021,4,29,6,4,Cocomelon,TV Show,No,"Jun 1, 2020",188,626
7,2021,4,29,8,7,"Nicky, Ricky, Dicky & Dawn",TV Show,No,"Apr 12, 2021",17,49
8,2021,4,29,9,-,American Me,Movie,No,"Apr 17, 2021",3,7
9,2021,4,29,10,-,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",43,334
10,2021,4,29,7,8,The Serpent,TV Show,Yes,"Apr 2, 2021",25,99
1,2021,4,30,1,-,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",7,70
2,2021,4,30,2,1,The Circle US,TV Show,Yes,"Jan 1, 2020",16,114
3,2021,4,30,-,-,Things Heard & Seen,Movie,Yes,"Apr 29, 2021",1,8
4,2021,4,30,6,4,Cocomelon,TV Show,No,"Jun 1, 2020",189,633
5,2021,4,30,4,2,The Baker and the Beauty,TV Show,No,"Apr 13, 2021",15,112
6,2021,4,30,3,3,Stowaway,Movie,Yes,"Apr 22, 2021",8,66
7,2021,4,30,-,-,Yasuke,TV Show,Yes,"Apr 29, 2021",1,4
8,2021,4,30,5,5,Life in Color with David At…,TV Show,Yes,"Apr 22, 2021",8,52
9,2021,4,30,7,7,"Nicky, Ricky, Dicky & Dawn",TV Show,No,"Apr 12, 2021",18,51
10,2021,4,30,9,-,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",44,335
1,2021,5,1,-,-,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",1,10
2,2021,5,1,1,1,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",8,79
3,2021,5,1,3,-,Things Heard & Seen,Movie,Yes,"Apr 29, 2021",2,16
4,2021,5,1,2,3,The Circle US,TV Show,Yes,"Jan 1, 2020",17,121
5,2021,5,1,4,5,Cocomelon,TV Show,No,"Jun 1, 2020",190,639
6,2021,5,1,7,-,Yasuke,TV Show,Yes,"Apr 29, 2021",2,9
7,2021,5,1,6,2,Stowaway,Movie,Yes,"Apr 22, 2021",9,70
8,2021,5,1,5,4,The Baker and the Beauty,TV Show,No,"Apr 13, 2021",16,115
9,2021,5,1,8,6,Life in Color with David At…,TV Show,Yes,"Apr 22, 2021",9,54
10,2021,5,1,-,-,The Innocent,TV Show,Yes,"Apr 30, 2021",1,1
1,2021,5,2,1,-,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",2,20
2,2021,5,2,2,1,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",9,88
3,2021,5,2,3,-,Things Heard & Seen,Movie,Yes,"Apr 29, 2021",3,24
4,2021,5,2,-,-,Madagascar 3: Europe's Most…,Movie,No,"May 1, 2021",1,7
5,2021,5,2,4,5,The Circle US,TV Show,Yes,"Jan 1, 2020",18,127
6,2021,5,2,-,-,Love Happens,Movie,No,"May 1, 2021",1,5
7,2021,5,2,-,-,Green Zone,Movie,No,"May 1, 2021",1,4
8,2021,5,2,5,6,Cocomelon,TV Show,No,"Jun 1, 2020",191,642
9,2021,5,2,6,-,Yasuke,TV Show,Yes,"Apr 29, 2021",3,11
10,2021,5,2,10,-,The Innocent,TV Show,Yes,"Apr 30, 2021",2,2
1,2021,5,3,1,-,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",3,30
2,2021,5,3,2,1,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",10,97
3,2021,5,3,3,-,Things Heard & Seen,Movie,Yes,"Apr 29, 2021",4,32
4,2021,5,3,4,-,Madagascar 3: Europe's Most…,Movie,No,"May 1, 2021",2,14
5,2021,5,3,5,5,The Circle US,TV Show,Yes,"Jan 1, 2020",19,133
6,2021,5,3,6,-,Love Happens,Movie,No,"May 1, 2021",2,10
7,2021,5,3,7,-,Green Zone,Movie,No,"May 1, 2021",2,8
8,2021,5,3,8,6,Cocomelon,TV Show,No,"Jun 1, 2020",192,645
9,2021,5,3,9,-,Yasuke,TV Show,Yes,"Apr 29, 2021",4,13
10,2021,5,3,10,-,The Innocent,TV Show,Yes,"Apr 30, 2021",3,3
1,2021,5,4,1,-,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",4,40
2,2021,5,4,2,1,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",11,106
3,2021,5,4,4,-,Madagascar 3: Europe's Most…,Movie,No,"May 1, 2021",3,22
4,2021,5,4,7,-,Green Zone,Movie,No,"May 1, 2021",3,15
5,2021,5,4,6,-,Love Happens,Movie,No,"May 1, 2021",3,16
6,2021,5,4,3,-,Things Heard & Seen,Movie,Yes,"Apr 29, 2021",5,37
7,2021,5,4,5,5,The Circle US,TV Show,Yes,"Jan 1, 2020",20,137
8,2021,5,4,10,-,The Innocent,TV Show,Yes,"Apr 30, 2021",4,6
9,2021,5,4,-,-,Your Highness,Movie,No,"May 1, 2021",1,2
10,2021,5,4,8,6,Cocomelon,TV Show,No,"Jun 1, 2020",193,646
1,2021,5,5,1,-,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",5,50
2,2021,5,5,2,1,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",12,115
3,2021,5,5,-,-,Selena: The Series,TV Show,Yes,"Dec 4, 2020",12,94
4,2021,5,5,3,-,Madagascar 3: Europe's Most…,Movie,No,"May 1, 2021",4,29
5,2021,5,5,5,-,Love Happens,Movie,No,"May 1, 2021",4,22
6,2021,5,5,4,-,Green Zone,Movie,No,"May 1, 2021",4,20
7,2021,5,5,8,-,The Innocent,TV Show,Yes,"Apr 30, 2021",5,10
8,2021,5,5,6,-,Things Heard & Seen,Movie,Yes,"Apr 29, 2021",6,40
9,2021,5,5,7,5,The Circle US,TV Show,Yes,"Jan 1, 2020",21,139
10,2021,5,5,10,6,Cocomelon,TV Show,No,"Jun 1, 2020",194,647
1,2021,5,6,1,-,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",6,60
2,2021,5,6,2,1,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",13,124
3,2021,5,6,3,-,Selena: The Series,TV Show,Yes,"Dec 4, 2020",13,102
4,2021,5,6,4,-,Madagascar 3: Europe's Most…,Movie,No,"May 1, 2021",5,36
5,2021,5,6,5,-,Love Happens,Movie,No,"May 1, 2021",5,28
6,2021,5,6,6,-,Green Zone,Movie,No,"May 1, 2021",5,25
7,2021,5,6,7,-,The Innocent,TV Show,Yes,"Apr 30, 2021",6,14
8,2021,5,6,8,-,Things Heard & Seen,Movie,Yes,"Apr 29, 2021",7,43
9,2021,5,6,9,2,The Circle US,TV Show,Yes,"Jan 1, 2020",22,141
10,2021,5,6,10,6,Cocomelon,TV Show,No,"Jun 1, 2020",195,648
1,2021,5,7,-,-,The Sons of Sam: A Descent …,TV Show,Yes,"May 5, 2021",1,10
2,2021,5,7,1,-,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",7,69
3,2021,5,7,3,-,Selena: The Series,TV Show,Yes,"Dec 4, 2020",14,110
4,2021,5,7,9,2,The Circle US,TV Show,Yes,"Jan 1, 2020",23,148
5,2021,5,7,2,1,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",14,130
6,2021,5,7,4,-,Madagascar 3: Europe's Most…,Movie,No,"May 1, 2021",6,41
7,2021,5,7,10,4,Cocomelon,TV Show,No,"Jun 1, 2020",196,652
8,2021,5,7,7,-,The Innocent,TV Show,Yes,"Apr 30, 2021",7,17
9,2021,5,7,6,-,Green Zone,Movie,No,"May 1, 2021",6,27
10,2021,5,7,5,-,Love Happens,Movie,No,"May 1, 2021",6,29
1,2021,5,8,-,-,Jupiterâs Legacy,TV Show,Yes,"May 7, 2021",1,10
2,2021,5,8,1,-,The Sons of Sam: A Descent …,TV Show,Yes,"May 5, 2021",2,19
3,2021,5,8,2,1,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",8,77
4,2021,5,8,3,-,Selena: The Series,TV Show,Yes,"Dec 4, 2020",15,117
5,2021,5,8,5,2,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",15,136
6,2021,5,8,6,-,Madagascar 3: Europe's Most…,Movie,No,"May 1, 2021",7,46
7,2021,5,8,4,4,The Circle US,TV Show,Yes,"Jan 1, 2020",24,152
8,2021,5,8,7,5,Cocomelon,TV Show,No,"Jun 1, 2020",197,655
9,2021,5,8,-,-,Monster,Movie,Yes,"May 7, 2021",1,2
10,2021,5,8,8,10,The Innocent,TV Show,Yes,"Apr 30, 2021",8,18
1,2021,5,9,1,-,Jupiterâs Legacy,TV Show,Yes,"May 7, 2021",2,20
2,2021,5,9,3,1,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",9,86
3,2021,5,9,2,-,The Sons of Sam: A Descent …,TV Show,Yes,"May 5, 2021",3,27
4,2021,5,9,4,-,Selena: The Series,TV Show,Yes,"Dec 4, 2020",16,124
5,2021,5,9,5,2,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",16,142
6,2021,5,9,9,-,Monster,Movie,Yes,"May 7, 2021",2,7
7,2021,5,9,6,4,Madagascar 3: Europe's Most…,Movie,No,"May 1, 2021",8,50
8,2021,5,9,8,8,Cocomelon,TV Show,No,"Jun 1, 2020",198,658
9,2021,5,9,7,5,The Circle US,TV Show,Yes,"Jan 1, 2020",25,154
10,2021,5,9,-,-,Dead Man Down,Movie,No,"Nov 6, 2013",1,1
1,2021,5,10,1,-,Jupiterâs Legacy,TV Show,Yes,"May 7, 2021",3,30
2,2021,5,10,2,1,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",10,95
3,2021,5,10,3,-,The Sons of Sam: A Descent …,TV Show,Yes,"May 5, 2021",4,35
4,2021,5,10,10,-,Dead Man Down,Movie,No,"Nov 6, 2013",2,8
