"name","style","abv","ibu","ounces"
"Autumn Winds Fest Beer","Märzen / Oktoberfest",0.058,0,16
"Captain's Daughter","American Double / Imperial IPA",0.085,69,12
"Autumn Winds","Märzen / Oktoberfest",0.058,0,16
"Flying Jenny Extra Pale Ale","American Pale Ale (APA)",0.06,54,12
"Hazy Day Belgian-Style Wit","Witbier",0.04,20,16
"Bring Back the Beach Blonde Ale","American Blonde Ale",0.055,0,16
"Leaning Chimney Smoked Porter","American Porter",0.06,34,16
"Flying Jenny Extra Pale Ale (2012)","American Pale Ale (APA)",0.06,54,12
"Flagship Ale","Cream Ale",0.049,22,12
"Mr. Blue Sky","American Pale Wheat Ale",0.045,6,16
"3 Scrooges","Winter Warmer",0.065,0,16
"Screamin’ Pumpkin","Pumpkin Ale",0.05,25,16
"Grand Trunk Bohemian Pils","Czech Pilsener",0.05,35,16
"El Rojo","American Amber / Red Ale",0.065,25,16
"Norm's Raggedy Ass IPA","American IPA",0.075,0,16
"Grind Line","American Pale Ale (APA)",0.05,35,16
"Norm's Gateway IPA","American IPA",0.04,55,12
"Lemon Shandy Tripel","Tripel",0.09,0,16
"Little Red Cap","Altbier",0.063,43,12
"Supergoose IPA","American IPA",0.069,67,12
"Hale's Pale American Ale","American Pale Ale (APA)",0.047,0,12
"Heyoka IPA","American IPA",0.07,0,16
"Guest Lager","American Double / Imperial Pilsner",0.08,0,16
"Pony Pilsner","German Pilsener",0.057,0,16
"Akari Shogun American Wheat Ale","American Pale Wheat Ale",0.055,0,16
"Meat Wave","English India Pale Ale (IPA)",0.06,0,16
"Over Ale","American Brown Ale",0.06,0,16
"Gossamer Golden Ale","American Blonde Ale",0.042,0,16
"Daisy Cutter Pale Ale","American Pale Ale (APA)",0.052,0,16
"Pursuit","American IPA",0.07,40,12
"Half Full Bright Ale","American Blonde Ale",0.052,18,12
"Orange Wheat","Fruit / Vegetable Beer",0.046,17,12
"Hangar 24 Helles Lager","Munich Helles Lager",0.043,14,12
"The Great Return","American IPA",0.075,70,16
"Hardywood Cream Ale","Cream Ale",0.044,18,12
"Capital Trail Pale Ale","American Pale Ale (APA)",0.056,55,12
"UFO Gingerland","Herbed / Spiced Beer",0.052,15,12
"The Long Thaw White IPA","American White IPA",0.062,45,12
"Honey Cider","Cider",0.048,0,12
"Harpoon Summer Beer","Kölsch",0.05,28,12
"Harpoon IPA","American IPA",0.059,42,12
"UFO Pumpkin","Pumpkin Ale",0.059,20,12
"Harpoon Octoberfest","Märzen / Oktoberfest",0.055,30,12
"Harpoon IPA (2012)","American IPA",0.059,42,12
"Harpoon Summer Beer (2012)","Kölsch",0.05,28,12
"UFO White","American Pale Wheat Ale",0.048,10,12
"Harpoon Summer Beer (2010)","Kölsch",0.05,28,12
"Harpoon IPA (2010)","American IPA",0.059,42,12
"Great Falls Select Pale Ale","American Blonde Ale",NA,0,12
"Beltian White","Witbier",0.048,0,12
"Kaua'i Golden Ale","American Blonde Ale",0.049,0,12
"Sunset Amber","American Pale Ale (APA)",0.054,0,12
"Hapa Brown Ale","American Brown Ale",0.064,0,19.2
"Hapa Brown Ale","American Brown Ale",0.064,0,12
"Southern Cross","Flanders Red Ale",0.083,0,19.2
"Groupe G","Belgian IPA",0.076,65,16
"Pt. Bonita Rustic Lager","American Pale Lager",0.062,40,16
"Hill 88 Double IPA","American Double / Imperial IPA",0.088,77,16
"Loose Cannon","American IPA",0.072,45,12
"AARGHtoberfest!","Märzen / Oktoberfest",0.06,30,12
"Davy Jones Lager","Cream Ale",0.06,0,12
"Grazias","Cream Ale",0.063,30,16
"Habitus IPA","American IPA",0.08,86,16
"Ex Umbris Rye Imperial Stout","American Double / Imperial Stout",0.099,85,16
"The Golden One","American Pilsner",0.063,21,12
"The Power of Zeus","American Pale Ale (APA)",0.07,68,12
"Tonganoxie Honey Wheat","American Pale Wheat Ale",0.044,22,12
"Oregon Trail Unfiltered Raspberry Wheat","Fruit / Vegetable Beer",0.045,0,12
"Annie's Amber Ale","American Amber / Red Ale",0.055,0,12
"The 12th Can™","American Pale Ale (APA)",0.045,32,16
"Hilliard's Pils","Czech Pilsener",0.055,34,16
"Hilliard's Blonde","American Blonde Ale",0.049,20,16
"Hilliard's Amber Ale","American Amber / Red Ale",0.055,60,16
"Hilliard's Saison","Saison / Farmhouse Ale",0.066,30,16
"White Cap White IPA","American White IPA",0.042,0,16
"Provision","Saison / Farmhouse Ale",0.042,25,12
"One Nut Brown","American Brown Ale",0.047,28,12
"Hop Farm IPA","American IPA",0.058,45,12
"Double D Blonde","American Blonde Ale",0.049,20,12
"Festeroo Winter Ale","American Strong Ale",0.078,60,12
"Proxima IPA","American IPA",0.063,70,12
"Double D Blonde (2013)","American Blonde Ale",0.049,20,12
"541 American Lager","American Pale Lager",0.048,13,12
"Alphadelic IPA","American IPA",0.065,90,12
"Alphadelic IPA (2011)","American IPA",0.065,90,12
"Double D Blonde (2011)","American Blonde Ale",0.049,20,12
"Green House India Pale Ale","American IPA",0.07,0,12
"The One They Call Zoe","American Pale Lager",0.051,0,12
"Alteration","Altbier",0.051,40,12
"Pale Dog","American Pale Ale (APA)",0.06,50,12
"Porter Culture","American Porter",0.065,0,12
"Hard Cider","Cider",0.068,0,16
"Totally Radler","Radler",0.027,21,16
"Nonstop Hef Hop","American Pale Wheat Ale",0.039,20,16
"Nonstop Hef Hop","American Pale Wheat Ale",0.039,20,16
"Nonstop Hef Hop","American Pale Wheat Ale",0.039,20,16
"Nonstop Hef Hop","American Pale Wheat Ale",0.039,20,16
"Nonstop Hef Hop","American Pale Wheat Ale",0.039,20,16
"Nonstop Hef Hop","American Pale Wheat Ale",0.039,20,16
"Nonstop Hef Hop","American Pale Wheat Ale",0.039,20,16
"Nonstop Hef Hop","American Pale Wheat Ale",0.039,20,16
"Nonstop Hef Hop","American Pale Wheat Ale",0.039,20,16
"Nonstop Hef Hop","American Pale Wheat Ale",0.039,20,16
"Nonstop Hef Hop","American Pale Wheat Ale",0.039,20,16
"Nonstop Hef Hop","American Pale Wheat Ale",0.039,20,16
"Rise Up Red","American Amber / Red Ale",0.058,60,16
"Survival Stout","American Stout",0.058,35,16
"Hopworks IPA","American IPA",0.066,75,16
"Abominable Winter Ale","American Strong Ale",0.073,70,16
"Pigwar White India Pale Ale","American White IPA",0.06,60,16
"Rise-Up Red (2014)","American Amber / Red Ale",0.058,60,16
"Abominable Winter Ale (2012)","American Strong Ale",0.073,70,16
"HUB Lager","Czech Pilsener",0.051,32,16
"Hopworks IPA (2012)","American IPA",0.066,75,16
"Watermelon Wheat","American Pale Wheat Ale",0.056,0,12
"Laka Laka Pineapple","Hefeweizen",0.051,17,12
"Oktoberfest","Märzen / Oktoberfest",0.06,0,16
"Trail Maker Pale Ale","American Pale Ale (APA)",0.065,0,12
"Action Man Lager","Vienna Lager",0.055,0,12
"Let It Ride IPA","American IPA",0.068,90,12
"Stir Crazy Winter Ale","Winter Warmer",0.065,22,12
"Sweet Yamma Jamma Ale","Fruit / Vegetable Beer",0.05,10,12
"Shenanigans Summer Ale","American Pale Wheat Ale",0.046,27,12
"Midnight Ryder","American Black Ale",0.065,80,12
"Day Tripper Pale Ale","American Pale Ale (APA)",0.054,45,12
"Oklahoma Suks","American Amber / Red Ale",0.048,32,12
"Power & Light","American Pale Ale (APA)",0.055,42,12
"White Rabbit","Witbier",0.059,27,12
"Tribute","American Pale Ale (APA)",0.058,58,12
"Infamous IPA","American IPA",0.07,75,12
"Hijack","Cream Ale",0.055,20,12
"Jon Boat Coastal Ale","American Blonde Ale",0.045,20,12
"I-10 IPA","American IPA",0.068,55,12
"People's Pale Ale","American Pale Ale (APA)",0.053,28,12
"Summer Ale","American Blonde Ale",0.049,0,12
"Appreciation Ale","American IPA",NA,0,16
"House Lager","Keller Bier / Zwickel Bier",0.052,18,16
"Leisure Time","American Pale Lager",0.048,15,12
"Excess IPL","American India Pale Lager",0.072,80,16
"Hoponius Union","American India Pale Lager",0.067,65,12
"Calyptra","American India Pale Lager",0.049,45,12
"Helen's Blend","Cider",0.05,0,12
"Jack's Hard Cider","Cider",0.051,0,12
"Thunder Ann","American Pale Ale (APA)",0.055,37,12
"Razz Wheat","Fruit / Vegetable Beer",0.055,0,12
"Hop Ryot","American IPA",0.065,0,12
"Mystic Mama IPA","American IPA",0.07,0,12
"Firefly Amber Ale","American Amber / Red Ale",0.05,0,12
"Chomolungma Honey Nut Brown Ale","English Brown Ale",0.067,0,12
"Welcome to Scoville","American IPA",0.069,0,12
"Bastian","American Strong Ale",NA,0,12
"Healani","Hefeweizen",0.045,0,12
"Yabba Dhaba Chai Tea Porter","American Porter",0.055,0,12
"A Capella Gluten Free Pale Ale","American Pale Ale (APA)",0.055,0,12
"Casper White Stout","American Blonde Ale",0.06,0,12
"JP's Ould Sod Irish Red IPA","American IPA",0.06,0,12
"Weize Guy","Hefeweizen",0.05,15,12
"Fox Tail Gluten Free Ale","American Pale Ale (APA)",0.05,50,12
"Hop Box Imperial IPA","American Double / Imperial IPA",0.093,90,12
"Joseph James American Lager","American Adjunct Lager",0.052,15,12
"Sucha Much IPA","American IPA",0.071,0,12
"Lewbricator Wheat Dopplebock","Doppelbock",0.075,24,12
"Weisse Versa (2012)","Hefeweizen",0.052,16,12
"Mother in Lager","Munich Dunkel Lager",0.058,25,12
"Weekend Warrior Pale Ale","American Pale Ale (APA)",0.055,40,12
"Karbachtoberfest","Märzen / Oktoberfest",0.055,25,12
"Love Street Summer Seasonal (2014)","Kölsch",0.047,20,12
"Barn Burner Saison","Saison / Farmhouse Ale",0.066,20,12
"Rodeo Clown Double IPA","American Double / Imperial IPA",0.095,85,12
"Sympathy for the Lager","American Amber / Red Lager",0.049,45,12
"Weisse Versa","Hefeweizen",0.052,15,12
"Hopadillo India Pale Ale","American IPA",0.066,70,12
"KelSo Nut Brown Lager","Euro Dark Lager",0.057,19,12
"KelSo India Pale Ale","American IPA",0.06,64,12
"KelSo Pilsner","Czech Pilsener",0.055,23,12
"Skilak Scottish Ale","Scottish Ale",0.058,0,12
"Peninsula Brewers Reserve (PBR)","American Blonde Ale",0.05,15,12
"Sunken Island IPA","American IPA",0.068,0,12
"Skilak Scottish Ale (2011)","Scottish Ale",0.058,0,12
"Cold Smoke Scotch Ale (2007)","Scotch Ale / Wee Heavy",0.065,11,16
"Double Haul IPA (2009)","American IPA",0.065,65,16
"Double Haul IPA (2006)","American IPA",0.065,65,16
"Eddy Out Pale Ale","American Pale Ale (APA)",0.055,50,16
"Double Haul IPA","American IPA",0.065,65,16
"Cold Smoke Scotch Ale","Scotch Ale / Wee Heavy",0.065,11,16
"U. P. Witbier","Witbier",NA,0,12
"November Gale Pale Ale","American Pale Ale (APA)",NA,0,12
"Olde Ore Dock Scottish Ale","Scottish Ale",NA,0,12
"Widow Maker Black Ale","American Brown Ale",NA,0,12
"Lift Bridge Brown Ale","American Brown Ale",NA,0,12
"Pick Axe Blonde Ale","American Blonde Ale",NA,0,12
"Red Jacket Amber Ale","American Amber / Red Ale",NA,0,12
"Amber Ale","American Amber / Red Ale",0.051,0,12
"King Street Pilsner","Czech Pilsener",0.055,0,12
"King Street IPA","American IPA",0.06,70,12
"King Street Hefeweizen","Hefeweizen",0.057,10,12
"King Street Blonde Ale","American Blonde Ale",0.049,0,12
"India Pale Ale","American IPA",0.063,65,16
"Blackberry Wheat","American Pale Wheat Ale",0.048,11,16
"Longboard Island Lager","American Amber / Red Lager",0.046,18,24
"Longboard Island Lager","American Amber / Red Lager",0.046,18,16
"Longboard Island Lager","American Amber / Red Lager",0.046,18,12
"Longboard Island Lager","American Amber / Red Lager",0.046,18,12
"Choc Beer (2003)","American Dark Wheat Ale",0.04,9,12
"Bellingham Beer Week 2013 Collaboration","Belgian Strong Dark Ale",0.08,0,16
"A Slice of Hefen","Hefeweizen",0.054,15,16
"Elevated IPA","American IPA",0.072,100,16
"Rumspringa Golden Bock","Maibock / Helles Bock",0.066,30,12
"Lancaster German Style Kölsch","Kölsch",0.048,28,12
"Beach Cruiser","Hefeweizen",0.045,0,12
"I.P. Eh!","American IPA",0.068,0,12
"Schoolhouse Honey","American Amber / Red Ale",0.05,0,12
"10 Degrees of Separation","English Brown Ale",0.055,0,12
"Laughing Dog Cream Ale","Cream Ale",0.05,12,12
"Two-One Niner","American Pilsner",0.048,9,12
"Laughing Dog IPA","American IPA",0.064,66,12
"Madra Allta","American IPA",0.064,95,12
"Duluchan India Pale Ale","American IPA",0.056,70,12
"Lazy Monk Bohemian Pilsner","Czech Pilsener",0.05,0,16
"Yellowstone Golden Ale","Kölsch",0.051,0,12
"Tumbleweed IPA","American IPA",0.057,0,12
"Lewis & Clark Amber Ale","American Amber / Red Ale",0.05,0,12
"Miner's Gold Hefeweizen","Hefeweizen",0.05,0,12
"Back Country Scottish Ale","Scottish Ale",0.057,0,12
"Getaway","German Pilsener",0.052,30,16
"Farm Girl Saison","Saison / Farmhouse Ale",0.06,30,16
"Adam's Stout","American Stout",0.058,40,12
"American Hero","American Amber / Red Ale",0.057,42,12
"Schweet Ale","Fruit / Vegetable Beer",0.052,20,12
"Irregardless IPA","American IPA",0.065,75,12
"Peach Pale Ale","American Pale Ale (APA)",0.057,40,12
"Deadeye Jack","American Porter",0.06,0,12
"Pistols at Dawn","American Stout",0.075,0,16
"Peacemaker Pale Ale","American Pale Ale (APA)",0.057,47,12
"Shotgun Betty","Hefeweizen",0.058,11,12
"Sweet Josie","American Brown Ale",0.061,30,12
"Long Trail IPA","English India Pale Ale (IPA)",0.059,42,12
"Long Trail Ale","American Amber / Red Ale",0.046,30,12
"Double Bag","Altbier",0.072,33,16
"Blackbeary Wheat","Fruit / Vegetable Beer",0.04,8,12
"Long Trail Ale (1)","Altbier",0.046,30,12
"Gose","Gose",0.046,8,16
"Vermont Pilsner","German Pilsener",0.048,20,16
"Mosaic Single Hop IPA","American IPA",0.055,0,16
"Lost Galaxy","American IPA",0.045,0,16
"Face Plant IPA","American IPA",0.062,65,12
"Rhino Chasers Pilsner","Czech Pilsener",0.056,55,12
"Slow Hand Stout","American Stout",0.052,29,16
"Hips Don't Lie","Hefeweizen",0.062,0,16
"Ride Again Pale Ale","American Pale Ale (APA)",0.052,0,16
"The Farmer's Daughter","American Blonde Ale",0.048,0,16
"Pub Ale","English Dark Mild Ale",0.038,18,12
"Ballistic Blonde","Belgian Pale Ale",0.051,31,12
"Knotty Pine","American Pale Ale (APA)",0.054,0,12
"Lumberyard Pilsner","American Pilsner",0.053,20,12
"Lumberyard IPA","American IPA",0.061,0,12
"Lumberyard Red Ale","American Amber / Red Ale",0.058,0,12
"Mac's Highlander Pale Ale (2000)","American Pale Ale (APA)",0.05,0,12
"Mac's Scottish Style Amber Ale (2000)","American Amber / Red Ale",0.051,32,12
"Macon Progress Ale","American Pale Ale (APA)",0.05,0,12
"Macon History Ale","American Brown Ale",0.055,0,12
"Galaxy High","American Double / Imperial IPA",0.099,0,12
"Sol Drifter","American Blonde Ale",0.043,18,12
"Thunder Snow","Winter Warmer",0.085,0,12
"The Great Pumpcan","Fruit / Vegetable Beer",0.079,18,16
"LIFT","Kölsch",0.047,11,12
"SPRYE","American Pale Ale (APA)",0.05,40,12
"Psychopathy","American IPA",0.069,70,12
"Gnarly Brown","American Brown Ale",0.07,32,12
"Happy Amber","American Amber / Red Ale",0.06,30,12
"#9","Fruit / Vegetable Beer",0.051,20,16
"Elder Betty","Hefeweizen",0.055,13,12
"#9","Fruit / Vegetable Beer",0.051,20,12
"High Country Pilsner (Current)","German Pilsener",0.042,0,12
"Epic IPA","American IPA",0.065,0,12
"Golden Trout Pilsner","German Pilsener",0.042,0,12
"Real McCoy Amber Ale (Current)","American Amber / Red Ale",0.045,0,12
"Festivus (1)","Winter Warmer",0.072,0,12
"Manayunk Oktoberfest","Märzen / Oktoberfest",0.067,0,12
"Belgian Style Session Ale","Belgian Pale Ale",0.045,21,12
"Manayunk IPA","American IPA",0.055,0,12
"Yunkin' Punkin'","Pumpkin Ale",0.055,0,12
"Summer Paradise","American Pale Wheat Ale",0.05,18,12
"Monk from the 'Yunk","Tripel",0.09,30,12
"Schuylkill Punch","Fruit / Vegetable Beer",0.06,14,12
"Dreamin' Double IPA","American Double / Imperial IPA",0.085,85,12
"Chaotic Double IPA","American Double / Imperial IPA",0.099,93,12
"Manzanita IPA","American IPA",0.08,88,12
"Riverwalk Blonde Ale","American Blonde Ale",0.06,25,12
"Gillespie Brown Ale","American Brown Ale",0.095,49,12
"Manzanita Pale Ale","American Pale Ale (APA)",0.066,44,12
"Marble Pilsner","German Pilsener",0.047,0,12
"Marble India Pale Ale","American IPA",0.062,0,12
"Toughcats IPA","American IPA",0.072,0,16
"Tug Pale Ale","American Pale Ale (APA)",0.05,0,16
"Sexy Chaos","Russian Imperial Stout",0.099,0,16
"Ace Hole American Pale Ale","American Pale Ale (APA)",0.063,0,16
"Cant Dog Imperial Pale Ale","American Double / Imperial IPA",0.097,0,16
"River House","Saison / Farmhouse Ale",0.05,20,16
"Pretzel Stout","American Stout",0.065,47,16
"Rubberneck Red","American Amber / Red Ale",0.05,35,16
"The Imperial Texan","American Double / Imperial IPA",0.08,0,16
"The Imperial Texan","American Double / Imperial IPA",0.08,0,12
"Day Break 4-Grain Breakfast Beer","Rye Beer",0.05,0,16
"River House Saison","Saison / Farmhouse Ale",0.05,0,12
"There Will Be Stout","American Stout",0.065,0,12
"Our Legacy IPA","American IPA",0.065,60,12
"Saranac Shandy","Shandy",0.042,0,12
"Our Legacy IPA","American IPA",0.065,60,16
"Saranac Golden Pilsener (2003)","German Pilsener",0.051,0,12
"Saranac Adirondack Light (2002)","Light Lager",0.045,0,12
"DAX Light (1998)","Light Lager",0.045,0,12
"Saranac Traditional Lager (2000)","American Pale Lager",0.048,0,12
"Pomegranate Wheat (2008)","Fruit / Vegetable Beer",0.047,0,12
"Blueberry Blonde Ale","American Blonde Ale",0.05,12,12
"Saranac White IPA","American IPA",0.06,0,12
"Saranac Summer Ale (2011)","American Pale Wheat Ale",0.047,0,12
"Saranac Pale Ale (12 oz.)","English Pale Ale",0.055,0,12
"Saranac Pale Ale (16 oz.)","English Pale Ale",0.055,0,16
"Lahaina Town Brown","American Brown Ale",0.051,20,12
"Pau Hana Pilsner","Czech Pilsener",0.055,0,12
"Lemongrass Saison","Saison / Farmhouse Ale",0.05,0,12
"Aloha B’ak’tun","Belgian Strong Dark Ale",0.07,0,12
"Liquid Breadfruit","Fruit / Vegetable Beer",0.082,0,12
"Sobrehumano Palena'ole","American Amber / Red Ale",0.06,24,12
"La Perouse White","Witbier",0.05,12,12
"Flyin' HI.P.Hay","American IPA",0.068,68,12
"Mana Wheat","American Pale Wheat Ale",0.055,15,12
"Bikini Blonde Lager","Munich Helles Lager",0.045,18,12
"CoCoNut Porter","American Porter",0.057,30,12
"Big Swell IPA","American IPA",0.062,65,12
"Pit Stop Chocolate Porter","American Porter",0.037,34,12
"Pace Setter Belgian Style Wit","Witbier",0.037,21,12
"Back in the Saddle Rye Pale Ale","American Pale Ale (APA)",0.037,53,12
"Bushwhacker Cider","Cider",0.069,0,16
"Weim-R-Iner","Cider",0.069,0,16
"Cherry Bomb","Cider",0.069,0,16
"Tsunami IPA","American IPA",0.072,75,19.2
"Tsunami IPA","American IPA",0.072,75,12
"Humpback Blonde Ale","American Blonde Ale",0.042,22,12
"Hawaiian Crow Porter","American Porter",0.052,27,12
"Volcano Red Ale","American Amber / Red Ale",0.052,23,12
"Mauna Kea Pale Ale","American Pale Ale (APA)",0.054,42,12
"Shark Bait","Fruit / Vegetable Beer",0.053,11,12
"Gator Tail Brown Ale","American Brown Ale",0.053,30,12
"Miami Vice IPA","American IPA",0.071,62,12
"Big Rod Coconut Ale","American Blonde Ale",0.053,16,12
"Mickey Finn's Amber Ale","American Amber / Red Ale",0.056,0,12
"Pleasure Town","American IPA",0.063,61,12
"Pleasure Town IPA","American IPA",0.063,61,12
"Snowshoe White Ale","Witbier",0.048,12,12
"Kodiak Brown Ale","American Brown Ale",0.05,24,12
"Sockeye Red IPA","American IPA",0.057,70,12
"Habitus (2014)","American Double / Imperial IPA",0.08,100,16
"Solis","American IPA",0.075,85,16
"Jucundus","Wheat Ale",0.06,24,16
"Habitus","American Double / Imperial IPA",0.08,100,16
"Grazias","Cream Ale",0.063,30,16
"Claritas","Kölsch",0.058,28,16
"Vinyl Frontier","American Double / Imperial IPA",0.083,0,24
"Disco Superfly","American IPA",0.08,0,24
"Misty Mountain Hop","American IPA",0.075,0,24
"One-Hit Wonderful","Belgian IPA",0.075,0,24
"En Parfaite Harmonie","Saison / Farmhouse Ale",0.065,0,24
"Daft Funk","Berliner Weissbier",0.043,8,24
"Love In An Ellavator","American IPA",0.075,0,24
"Spin Doctor","American Pale Ale (APA)",0.053,0,24
"Keeper (Current)","American Pilsner",0.05,0,12
"Better Half","American IPA",0.068,0,12
"SNO White Ale","Witbier",0.048,0,16
"BRIK Irish Red Ale","Irish Red Ale",0.048,0,16
"AXL Pale Ale","American Pale Ale (APA)",NA,0,16
"Hop Freak","American Double / Imperial IPA",0.087,80,16
"Louie's Demise Amber Ale","American Amber / Red Ale",0.051,24,16
"Hop Happy","American IPA",0.075,51,16
"Booyah Farmhouse Ale","Saison / Farmhouse Ale",0.065,20,16
"O-Gii","Witbier",0.092,0,16
"Flaming Damsel Lager (2010)","Vienna Lager",0.048,18,16
"Louie’s Demise Immort-Ale (2010)","American Amber / Red Ale",0.051,24,16
"Axe Head Malt Liquor","American Malt Liquor",0.099,0,24
"Huber Bock (2014)","Bock",0.054,0,16
"Minhas Light (2012)","Light Lager",0.04,0,12
"Huber","American Pale Lager",0.05,0,12
"Clear Creek Ice","American Pale Lager",0.062,0,16
"Clear Creek Ice","American Pale Lager",0.062,0,12
"Mountain Crest","American Pale Lager",0.055,0,16
"Mountain Crest","American Pale Lager",0.055,0,12
"Mountain Creek (2013)","American Pale Lager",0.055,0,12
"Boxer","American Adjunct Lager",0.05,0,24
"Boxer Light","Light Lager",0.042,0,12
"Boxer Ice","American Adjunct Lager",0.055,0,12
"Boxer","American Adjunct Lager",0.05,0,12
"Cortez Gold","Belgian Pale Ale",0.05,0,32
"Mission IPA","American IPA",0.068,66,32
"El Conquistador Extra Pale Ale","American Pale Ale (APA)",0.048,44,32
"Shipwrecked Double IPA","American Double / Imperial IPA",0.092,75,32
"Squeaky Bike Nut Brown Ale","American Brown Ale",0.04,0,16
"Dead Horse Amber","American Pale Wheat Ale",0.04,0,16
"Rocket Bike American Lager","California Common / Steam Beer",0.04,0,16
"Johnny's American IPA","American IPA",0.04,0,16
"Boneshaker Brown Ale","English Brown Ale",0.055,0,24
"Iron Mike Pale Ale","American Pale Ale (APA)",0.056,0,24
"Monkadelic","American Pale Ale (APA)",0.042,0,12
"City of the Sun","American IPA",0.075,85,16
"Booming Rollers","American IPA",0.068,75,16
"Oneida","American Pale Ale (APA)",0.052,50,16
"Aurora","American Amber / Red Ale",0.067,75,16
"Lomaland","Saison / Farmhouse Ale",0.055,30,16
"Fortunate Islands","American Pale Wheat Ale",0.047,46,16
"Black House","American Stout",0.058,40,16
"Blazing World","American Amber / Red Ale",0.065,115,16
"Wapiti Amber Ale","American Amber / Red Ale",0.05,0,12
"Sweet Georgia Brown","American Brown Ale",0.054,0,16
"Rich Man's IIPA","American Double / Imperial IPA",0.087,0,16
"Monkey Paw Oatmeal Pale Ale","American Pale Ale (APA)",0.058,0,16
"Montauk Summer Ale","American Blonde Ale",0.056,28,12
"Driftwood Ale","Extra Special / Strong Bitter (ESB)",0.06,49,12
"When Helles Freezes Over","Munich Helles Lager",0.056,18,12
"Morgan Street Oktoberfest","Märzen / Oktoberfest",0.049,24,12
"Honey Wheat","American Pale Wheat Ale",0.047,14,12
"Black Bear Dark Lager","Schwarzbier",0.046,24,12
"Golden Pilsner","German Pilsener",0.05,35,12
"Cali Creamin'","Cream Ale",0.052,21,12
"Second Wind Pale Ale","American Pale Ale (APA)",0.05,0,12
"Sunny Haze","Hefeweizen",0.05,0,12
"Towhead","American Blonde Ale",0.052,21,12
"Lil' Helper","American IPA",0.07,70,12
"Train Wreck","American Amber / Red Ale",0.082,0,16
"Full Moon Belgian White Ale","Witbier",0.085,0,12
"Desert Magic IPA","American IPA",0.072,0,12
"Up River Light","Light Lager",0.042,0,12
"Full Moon Belgian White Ale (2007)","Witbier",0.085,0,12
"Dry Heat Hefeweizen (2006)","Hefeweizen",0.055,0,12
"Mustang Sixty-Six","American Amber / Red Lager",0.05,0,12
"Mustang '33","American Pale Lager",0.04,0,12
"Session '33 (2011)","American Pale Lager",0.04,0,12
"Mustang Golden Ale","American Blonde Ale",0.053,10,12
"Washita Wheat","American Pale Wheat Ale",0.053,14,12
"Gansett Light","Light Lager",0.037,10,16
"Bohemian Pils","American Pilsner",0.052,30,16
"Autocrat Coffee Milk Stout","Milk / Sweet Stout",0.053,30,16
"Narragansett Bohemian Pilsner","German Pilsener",0.086,35,16
"Narragansett Summer Ale","American Pale Wheat Ale",0.042,24,12
"Narragansett Cream Ale","Cream Ale",0.05,22,16
"Narragansett Summer Ale","American Pale Wheat Ale",0.042,24,16
"Narragansett Porter","American Porter",0.07,22,16
"Narragansett Bock","Bock",0.065,32,16
"Narragansett Fest Lager","Märzen / Oktoberfest",0.055,15,16
"Undun Blonde Ale","American Blonde Ale",0.053,0,16
"CuDa Cascadian Dark Ale","American Black Ale",0.074,0,16
"Old Grogham Imperial India Pale Ale","American Double / Imperial IPA",0.085,86,16
"Old Grogham Imperial India Pale Ale (2012)","American Double / Imperial IPA",0.085,86,16
"CuDa Cascadian Dark Ale (2012)","American Black Ale",0.074,0,16
"Undun Blonde Ale (2012)","American Blonde Ale",0.053,0,16
"Wick For Brains","Pumpkin Ale",0.061,11,12
"Nebraska India Pale Ale","American IPA",0.065,65,12
"EOS Hefeweizen","Hefeweizen",0.048,10,12
"Brunette Nut Brown Ale","English Brown Ale",0.048,15,12
"Cardinal Pale Ale","American Pale Ale (APA)",0.057,29,12
"County Line IPA","American IPA",0.066,0,12
"Trauger Pilsner","German Pilsener",0.048,0,12
"Slow Ride","American IPA",0.045,40,12
"Ranger IPA","American IPA",0.065,70,12
"Shift","American Pale Lager",0.05,29,12
"1554 Black Lager","Euro Dark Lager",0.056,21,12
"Blue Paddle","Czech Pilsener",0.048,0,12
"California Route","American Amber / Red Lager",0.055,0,12
"Snapshot","American Pale Wheat Ale",0.052,0,16
"Sunshine Wheat Beer","American Pale Wheat Ale",0.048,0,12
"Fat Tire Amber Ale","American Amber / Red Ale",0.052,18,12
"Shift (1)","American Pale Lager",0.05,29,12
"Fat Tire Amber Ale (2011)","American Amber / Red Ale",0.052,18,12
"Shift","American Pale Lager",0.05,29,16
"Ranger IPA","American IPA",0.065,70,16
"Fat Tire Amber Ale","American Amber / Red Ale",0.052,18,16
"Ranger IPA (Current)","American IPA",0.065,70,12
"Sunshine Wheat Beer (2009)","American Pale Wheat Ale",0.048,0,12
"Fat Tire Amber Ale (2008)","American Amber / Red Ale",0.052,18,12
"Weiss Trash Culture","Berliner Weissbier",0.034,6,12
"Sea Hag IPA","American IPA",0.062,0,12
"Elm City Pilsner","American Pilsner",0.05,0,12
"Atlantic Amber Ale (2004)","American Amber / Red Ale",0.05,0,12
"668 Neighbor of the Beast12 oz.","Belgian Pale Ale",0.09,0,12
"Gandhi-Bot Double IPA (12 oz.)","American Double / Imperial IPA",0.088,85,12
"668 Neighbor of the Beast (16 oz.) (2010)","Belgian Pale Ale",0.09,0,16
"Gandhi-Bot Double IPA (16 oz.) (2010)","American Double / Imperial IPA",0.088,85,16
"Elm City Lager (2007)","American Pilsner",0.05,0,12
"Atlantic Amber Ale (2007)","American Amber / Red Ale",0.05,0,12
